component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	distribution_kind	public_legal_file_path	legal_file_sha256	notice_path	verification_status
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		PASS
khronos-egl	6.0.0	rust-package	https://crates.io/crates/khronos-egl/6.0.0	MIT/Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
lazy_static	1.5.0	rust-package	https://crates.io/crates/lazy_static/1.5.0	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/lazy_static-1.5.0-LICENSE-MIT-MIT-190f88e99b-0621878e61f0.txt	0621878e61f0d0fda054bcbe02df75192c28bde1ecc8289cbd86aeba2dd72720		PASS
libc	0.2.189	rust-package	https://crates.io/crates/libc/0.2.189	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/libc-0.2.189-LICENSE-MIT-MIT-127e753e47-123a331b5dbf.txt	123a331b5dbf04c30097fa43b8f858bc85df671fe776de498d01f3d6b7c1f69e		PASS
libloading	0.8.9	rust-package	https://crates.io/crates/libloading/0.8.9	ISC	ISC	TARGET_LINKED_RUNTIME	licenses/libloading-0.8.9-LICENSE-ISC-6d748c2e10-b29f8b014523.txt	b29f8b01452350c20dd1af16ef83b598fea3053578ccc1c7a0ef40e57be2620f		PASS
linux-raw-sys	0.12.1	rust-package	https://crates.io/crates/linux-raw-sys/0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	MIT	TARGET_LINKED_RUNTIME	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		PASS
lock_api	0.4.14	rust-package	https://crates.io/crates/lock_api/0.4.14	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/lock_api-0.4.14-LICENSE-MIT-MIT-e11af46c0a-c9a75f18b9ab.txt	c9a75f18b9ab2927829a208fc6aa2cf4e63b8420887ba29cdb265d6619ae82d5		PASS
log	0.4.33	rust-package	https://crates.io/crates/log/0.4.33	MIT OR Apache-2.0	MIT	TARGET_LINKED_RUNTIME	licenses/bitflags-1.3.2-LICENSE-MIT-MIT-76a9400ff4-6485b8ed310d.txt	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb		PASS
